address,lat,lon
24 HARRISON STREET 10013,40.7189065,-74.00997500000001
729 BROADWAY 10003,40.729793,-73.9933933
13558 LEFFERTS BOULEVARD 11420,40.6689436,-73.8216429
108 JAY STREET 11201,40.7017287,-73.9869552
589 1ST AVE 10016,40.7436397,-73.9739349
49 DIVISION ST 10002,40.7140303,-73.9951925
3514 NOSTRAND AVENUE 11229,40.5984844,-73.94174199999999
234 WEST   42 STREET 10036,40.7564269,-73.9888338
701 9TH AVE 10019,40.762466,-73.990082
1506 BRONXDALE AVE 10462,40.8427071,-73.8537226
261 PATCHEN AVE 11233,40.6820817,-73.92569230000001
3235 RICHMOND AVENUE 10312,40.5604033,-74.1688867
9522 4TH AVE 11209,40.6155636,-74.03155509999999
884 RUTLAND RD 11203,40.6604238,-73.93008069999999
29 WEST   26 STREET 10010,40.7444155,-73.99000459999999
219 DYCKMAN STREET 10034,40.8657639,-73.9272682
48 EAST   12 STREET 10003,40.7332675,-73.9916243
144 W 37TH ST 10018,40.7524546,-73.988719
15 EAST  167 STREET 10452,40.8360302,-73.92146199999999
2710 QUEENS PLZ S 11101,40.7499596,-73.9396089
1120 MANHATTAN AVE 11222,40.7367696,-73.9552005
16504 147TH AVE 11434,40.6600792,-73.7739438
170 BEDFORD AVENUE 11211,40.7182273,-73.9575495
2230 PITKIN AVE 11207,40.6725699,-73.8900364
10216 43 AVENUE 11368,40.747122,-73.86214199999999
7122 ROOSEVELT AVE 11372,40.7464388,-73.8940203
3840 CRESCENT ST 11101,40.7549715,-73.9369236
8622 BROADWAY 11373,40.7379217,-73.8773386
143 CHRISTOPHER STREET 10014,40.73297000000001,-74.007696
254 E 204TH STREET 10458,40.8740013,-73.8841595
171 WEST  167 STREET 10452,40.83755540000001,-73.9273711
358 GRAHAM AVENUE 11211,40.7149789,-73.94416799999999
8718 LIBERTY AVE 11417,40.6797002,-73.8507508
9420 GUY R BREWER BOULEVARD 11451,40.7022966,-73.7960148
11633 QUEENS BLVD 11375,40.7159258,-73.83261159999999
121 W 29TH ST 10001,40.7471823,-73.99091229999999
216 E 170TH ST 10456,40.8382515,-73.91310159999999
9017 31ST AVE 11369,40.760261,-73.8779442
3310 28 AVENUE 11103,40.767363,-73.9182288
3666 BROADWAY 10031,40.83043139999999,-73.9471828
7414 37TH RD 11372,40.7472139,-73.8909126
2378 JEROME AVENUE 10468,40.8607228,-73.9021873
3008 37TH ST 11103,40.7644407,-73.9168882
543 LA GUARDIA PLACE 10012,40.7283929,-73.9980822
950 ALLERTON AVENUE 10469,40.8653134,-73.8591788
19 ST MARKS PLACE 10003,40.729187,-73.988711
434 PARK PLACE 11238,40.675433,-73.9636359
2073 BARTOW AVE 10475,40.86980579999999,-73.82820950000001
1827 FLATBUSH AVENUE 11210,40.625326,-73.939368
7339 AMBOY ROAD 10307,40.5110099,-74.2420282
691 KNICKERBOCKER AVENUE 11221,40.6946549,-73.9108164
487 COURT STREET 11231,40.6761548,-73.9986785
7049 AUSTIN STREET 11375,40.7205199,-73.8452604
204 EAST   43 STREET 10017,40.751119,-73.9735049
1757 ARTHUR KILL ROAD 10312,40.5597257,-74.1973421
1226 SOUTHERN BOULEVARD 10459,40.8293602,-73.8915452
2425 BROADWAY 10024,40.7904714,-73.9751574
1974A 2ND AVE 10029,40.7876382,-73.9443869
315 UTICA AVE 11213,40.66727119999999,-73.9310107
255 3 AVENUE 11215,40.678064,-73.98537069999999
70-74 BOWERY 10013,40.7168232,-73.99615469999999
75 GREENWICH AVE 10014,40.7367065,-74.0014332
287 3 AVENUE 10010,40.7382398,-73.9832095
17 KNOLLS CRESCENT STREET 10463,40.8786065,-73.9174439
410 CHURCH AVE 11218,40.6439746,-73.9761917
702 NEW DORP LANE 10306,40.5657035,-74.1006192
25412 NORTHERN BOULEVARD 11362,40.7717326,-73.7343494
76 9 AVENUE 10011,40.7417806,-74.00450119999999
166 W 72ND ST 10023,40.7781931,-73.9812185
870 7 AVE 10019,40.76468380000001,-73.9812123
13107 JAMAICA AVE 11418,40.702286,-73.820908
2701 BOSTON POST ROAD 10467,41.3105248,-72.7324436
423 EAST  149 STREET 10455,40.815967,-73.9168326
1199 NOSTRAND AVE 11225,40.658092,-73.9501607
986 SUTTER AVENUE 11208,40.6711257,-73.8823247
4911 VERNON BOULEVARD 11101,40.7430199,-73.95382289999999
1292 WESTCHESTER AVE 10459,40.827207,-73.886569
113 MULBERRY STREET 10013,40.7176209,-73.9984521
947 4TH AVE 11232,40.6539818,-74.0044088
19914 HOLLIS AVENUE 11412,40.7059179,-73.75804
900 8 AVENUE 10019,40.7644293,-73.9841824
8916 NORTHERN BLVD 11372,40.7560467,-73.8781477
666 6TH AVENUE 10010,40.7412806,-73.9936889
1936 3RD AVE 10029,40.79216479999999,-73.94444330000002
25 MURRAY STREET 10007,40.7139386,-74.008297
200 BAYCHESTER AVE 10475,40.8636318,-73.8274021
3240 3RD AVE 10451,40.8236916,-73.9086552
19 STANTON ST 10002,40.722441,-73.99199709999999
16 GRAMERCY PARK SOUTH 10003,40.737609,-73.98665299999999
132 FREEMONT AVENUE 10306,40.578607,-74.1091994
118-06 LIBERTY AVENUE 11419,40.6858575,-73.824682
833 2nd Avenue 10017,40.7515106,-73.97128599999999
14621 ROCKAWAY BLVD 11436,40.6737441,-73.7912158
181 2 AVENUE 10003,40.7309294,-73.98615699999999
30 W 32ND ST 10001,40.7476127,-73.9871695
19 KENMARE STREET 10012,40.7206906,-73.994593
563 CONEY ISLAND AVENUE 11218,40.6436103,-73.96978709999999
196 UNION AVENUE 11211,40.7061217,-73.9500903
236 E GUN HILL RD 10467,40.8799105,-73.87646769999999
19421 NORTHERN BOULEVARD 11358,40.7580868,-73.78686239999999
559 GRAND STREET 11211,40.7113501,-73.9492908
1972 FLATBUSH AVENUE 11234,40.6215686,-73.9361314
130 AUDUBON AVE 10032,40.8428574,-73.93700059999999
2765 WEBSTER AVE 10458,40.8659719,-73.8864849
1211 MCDONALD AVE 11230,40.6238214,-73.9755085
3939 EMMONS AVENUE 11235,40.5853005,-73.9273188
8201 ROOSEVELT AVENUE 11372,40.7479045,-73.8838391
211 EAST   43 STREET 10017,40.7512663,-73.9731576
13529 37 AVENUE 11354,40.7613175,-73.832056
11 W 32ND ST 10001,40.7477348,-73.9861939
52 E 125TH ST 10035,40.8054831,-73.9405975
3944 21ST STREET 11101,40.7556062,-73.941215
601 E 187TH ST 10458,40.8556298,-73.8872514
175 2 AVENUE 10003,40.7307303,-73.9866071
172 W 79TH ST 10024,40.7828454,-73.97806450000002
193 LEE AVE 11211,40.7022631,-73.95584339999999
760766 8 AVENUE 10036,40.7585406,-73.9888398
39 GROVE STREET 10014,40.7329151,-74.0045082
125 NAGLE AVE 10040,40.8607231,-73.92675419999999
1107 CONEY ISLAND AVE 11230,40.6306849,-73.9659799
1512 FULTON ST 11216,40.67972640000001,-73.9404266
3207 WESTCHESTER AVENUE 10461,40.8518645,-73.82998289999999
105 FREEMAN ST 11222,40.7343618,-73.9575424
3408 30TH AVE 11103,40.7654494,-73.9188054
1101 CLARKSON AVE 11212,40.6602982,-73.9218022
14411 JAMAICA AVENUE 11435,40.70238560000001,-73.811117
237987 ADAM CLAYTON POWELL BOULEVARD 10030,40.8175016,-73.9419869
280 ST NICHOLAS AVENUE 10027,40.8101402,-73.95276489999999
1575 3 AVENUE 10128,40.78023940000001,-73.952629
787 9 AVENUE 10019,40.7651373,-73.9880763
3941 QUEENS BOULEVARD 11104,40.7441786,-73.9245566
654 AMSTERDAM AVENUE 10025,40.7915261,-73.9726033
3627 164 STREET 11358,40.762037,-73.80169910000001
18 SPRING STREET 10012,40.7213034,-73.9950089
280 MARSH AVENUE 10314,40.5785297,-74.1640324
4105 BOSTON ROAD 10466,40.886376,-73.8276854
9422 LIBERTY AVE 11417,40.680184,-73.84401679999999
4317 8 AVENUE 11232,40.6444752,-73.9998753
218 REMSEN AVE 11212,40.6589737,-73.9271261
7902 5 AVENUE 11209,40.6265209,-74.02405639999999
23520 HILLSIDE AVENUE 11427,40.7329404,-73.73401489999999
10802 72ND AVE 11375,40.7195132,-73.84245419999999
7222 5 AVENUE 11209,40.631277,-74.0221863
4611 KISSENA BOULEVARD 11355,40.7505452,-73.8185807
1117 HYLAN BOULEVARD 10305,40.5987581,-74.07979739999999
663 SENECA AVENUE 11385,40.7034977,-73.90843699999999
560 3 AVENUE 10016,40.74809,-73.97686
723 FULTON STREET 11217,40.6872477,-73.9763225
164 MULBERRY STREET 10013,40.719646,-73.9969371
51 COLUMBIA ST 10002,40.7173394,-73.9804602
2925 AVENUE P 11229,40.6122218,-73.9443172
300 W 22ND ST 10011,40.7446826,-73.9994754
68 BERGEN ST 11201,40.6867438,-73.9910146
3626A UNION ST 11354,40.762958,-73.82811699999999
2217 31ST ST 11105,40.7756292,-73.9110621
5819 8TH AVE 11220,40.6360575,-74.0086322
7617 NEW UTRECHT AVE 11214,40.6143528,-74.0001393
3908 64 STREET 11377,40.7462154,-73.90012879999999
156 EAST    2 STREET 10009,40.7229281,-73.98522969999999
255 MALCOLM X BOULEVARD 11233,40.6838771,-73.9289785
1345 ROCKAWAY PKWY 11236,40.6469564,-73.9041019
9508 SUTPHIN BOULEVARD 11435,40.6980839,-73.8065129
6804 BAY PARKWAY 11204,40.6121417,-73.9835883
181 GRAHAM AVE 11206,40.7082372,-73.9435365
3944 QUEENS BOULEVARD 11104,40.7435423,-73.9246363
478 9TH AVE 10018,40.7549783,-73.9948512
5275 65TH PL 11378,40.7315239,-73.9000734
9109 SPRINGFIELD BOULEVARD 11428,40.7256604,-73.7399894
143 PERRY STREET 10014,40.7349676,-74.0080469
1093 2 AVENUE 10022,40.759782,-73.9652452
2090 BARTOW AVE 10475,40.869059,-73.826987
450 CLARKSON AVENUE 11203,40.6551024,-73.94415649999999
362 W 53RD ST 10019,40.7650069,-73.987158
2118 FLATBUSH AVE 11234,40.6181206,-73.9323541
214 WEST   50 STREET 10019,40.7614878,-73.9847935
2343 UTICA AVENUE 11234,40.6137372,-73.9260163
11 WEST   31 STREET 10001,40.7471282,-73.98690429999999
2655 RICHMOND AVE 10314,40.5816775,-74.1657766
16928 JAMAICA AVENUE 11432,40.7069526,-73.78967440000001
13620 ROOSEVELT AVE 11354,40.7594481,-73.8291066
30 EAST   68 STREET 10065,40.76902,-73.967039
5406 FLUSHING AVENUE 11378,40.7148688,-73.91312359999999
172 WAVERLY PLACE 10014,40.734024,-74.0013903
16922 HILLSIDE AVE 11432,40.7107665,-73.792209
251 WEST   72 STREET 10023,40.7796739,-73.9833932
26 JEFFERSON BOULEVARD 10312,40.5413224,-74.17845919999999
46 SAINT NICHOLAS AVE 10026,40.8001018,-73.95228550000002
4272 KATONAH AVENUE 10470,40.8977778,-73.86703179999999
4106 163RD ST 11358,40.7612219,-73.8030891
401 EAST 58 STREET 10022,40.7589167,-73.962008
243 BEDELL AVENUE 10307,40.507779,-74.23304139999999
250 EAST HOUSTON STREET 10002,40.7220942,-73.9848741
9015 QUEENS BOULEVARD 11373,40.7345605,-73.8706424
762 9 AVENUE 10019,40.7641429,-73.98819809999999
4042 WEST    8 STREET 10011,40.73295239999999,-73.99800499999999
2249 ADAM CLAYTON POWELL JR BLVD 10027,40.8135225,-73.94470570000001
340 BAYCHESTER AVENUE 10475,40.8677392,-73.82858139999999
1727 BEDFORD AVENUE 11225,40.6641362,-73.95699139999999
14 MOTT STREET 10013,40.7141563,-73.9985052
139 FLATBUSH AVE 11217,40.6846975,-73.9768194
21606 JAMAICA AVENUE 11428,40.7173492,-73.7384769
5235 METROPOLITAN AVE 11385,40.7135153,-73.9130784
5612 METROPOLITAN AVE 11385,40.7127596,-73.9065102
23 W 32ND ST 10001,40.7478771,-73.98665299999999
112 STANTON ST 10002,40.721284,-73.9872499
560 5 AVENUE 11215,40.6654412,-73.9898668
940 8TH AVE 10019,40.7656652,-73.9832325
280 SMITH STREET 11231,40.6824328,-73.9935856
1384 EAST GUNHILL ROAD 10469,40.8698708,-73.8456164
311 HENRY STREET 11201,40.6909887,-73.99588109999999
10002 NORTHERN BOULEVARD 11368,40.7570462,-73.8682449
251 CHURCH ST 10013,40.717799,-74.00543019999999
7135 73RD PL 11385,40.7045927,-73.87607609999999
8830 PARSONS BOULEVARD 11432,40.7058655,-73.8019186
334 8TH AVE 10001,40.74758449999999,-73.9965737
9717 QUEENS BOULEVARD 11374,40.7296869,-73.8601577
211 WYCKOFF AVENUE 11237,40.7023941,-73.9157973
49 WARREN ST 10007,40.7145023,-74.0091487
3004 AVENUE L 11210,40.6218704,-73.94576909999999
736 E 152ND ST 10455,40.8157001,-73.90734619999999
87 7 AVENUE SOUTH 10014,40.7326111,-74.0031348
1000 3 AVENUE 10022,40.7619047,-73.96682779999999
425 AMSTERDAM AVENUE 10024,40.7839503,-73.9773785
10309 GLENWOOD RD 11236,40.648391,-73.8976831
581 HUDSON STREET 10014,40.7363593,-74.0060453
500 FOREST AVENUE 10310,40.630286,-74.1068823
15708 NORTHERN BLVD 11354,40.7635548,-73.8079092
22407 UNION TURNPIKE 11364,40.7359822,-73.7464147
2115 GRAND CONCOURSE 10453,40.854498,-73.90244109999999
3007 ASTORIA BLVD 11102,40.7703246,-73.91854090000001
30 EAST   13 STREET 10003,40.7346212,-73.9928051
3706 90 STREET 11372,40.7502345,-73.8769549
346 WEST   46 STREET 10036,40.76032319999999,-73.989775
75 9TH AVE 10011,40.7419634,-74.0049148
8530 3 AVENUE 11209,40.6237024,-74.0312745
500 AVENUE OF THE AMERICAS 10011,40.7363143,-73.9971207
